sort_order,page,story_id,brand,top_category,subcategory,sku,product_name,description,colors,list_price,map_price,net_price,net_price_if_buy_4_or_more,net_price_if_buy_6_or_more,net_price_if_buy_12_or_more,source_image_name,source_image_path
,,,Casio,Keyboards,Keyboards,PXS1100BK,PX-S1100BK,The PS-X100 is designed to be a source of inspiration that fits perfectly into your life.,Black,,729.99,535.99,,,,casio_pxs1100bk_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_pxs1100bk_black.png
,,,Casio,Keyboards,Keyboards,CDP-S360,CDP-S360,CDP-S360 delivers piano authenticity in a slim unibody case that’s barely larger than the keys themselves.,Black,,649.99,459.99,,,,casio_cdp-s360_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cdp-s360_black.png
,,,Casio,Keyboards,Keyboards,CDP-S160BK,CDP-S160BK,"Realistic, portable, and comfortable to play, the CDP-S160 redefines value in a digital piano.",Black,,549.99,359.99,,,,casio_cdp-s160bk_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cdp-s160bk_black.png
,,,Casio,Keyboards,Keyboards,CDP-S160cs,CDP-S160BK w/Stand,"Realistic, portable, and comfortable to play, the CDP-S160 redefines value in a digital piano.",Black,,679.99,459.99,,,,casio_cdp-s160cs_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cdp-s160cs_black.png
,,,Casio,Keyboards,Keyboards,LKS250,LK-S250,"The ultra-compact LK-S250 lets you make music wherever and whenever you want, with a Key Lighting system so you can easily learn your favorite songs.",Black,,239.99,159.99,,,,casio_lks250_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_lks250_black.png
,,,Casio,Keyboards,Keyboards,SA-81,SA-81,The Casio 44-key SA-81 offers all discoverers of music the essentials for playing those first tunes.,Black,,89.99,64.95,,,,casio_sa-81_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_sa-81_black.png
,,,Casio,Keyboards,Keyboards,CTS500,CT-S500,"The CT-S500 features 61 full-size touch responsive keys in a sleek, stylish case that weighs only 10 lbs, with an easy-to-read LCD display and intuitive controls.",Black,,449.99,299.99,,,,casio_cts500_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cts500_black.png
,,,Casio,Keyboards,Keyboards,CTS400,CT-S400,"If you’re sparking a new passion for music, or reigniting an old flame – this keyboard is the perfect home for all.",Black,,299.99,205.99,,,,casio_cts400_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cts400_black.png
,,,Casio,Keyboards,Keyboards,CTS300,CT-S300,"The compact size of 930 mm x 256 mm x 73 mm is 30% smaller in volume than the CTK-3500 model, and it boasts roughly 19 hours of alkaline battery life.",Black,,199.99,149.99,,,,casio_cts300_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cts300_black.png
,,,Casio,Keyboards,Keyboards,CTS200,CT-S200,The CTS200 has roughly 16 hours of alkaline battery life* & compact size of 930 mm x 256 mm x 73 mm.,Red & White,,169.99,118.99,,,,casio_cts200_red.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_cts200_red.png
,,,Casio,Keyboards,Keyboards,CT-S1,CT-S1,61 full-size keys with touch response. Stereo grand piano plus 60 other AiX-powered tones.,Black,259.99,,179.99,,,,casio_ct-s1_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_ct-s1_black.png
,,,Casio,Keyboards,Keyboards,CTX3000,CT-X3000,"The CT-X Series comes with the AiX Sound Source, which can produce a wide range of sound qualities from powerful bass tones to clear high tones.",Black,,409.99,284.99,,,,casio_ctx3000_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_ctx3000_black.png
,,,Casio,Keyboards,Keyboards,CTX700,CTX700,"61 full-size touch-responsive keys, 600 Tones, 195 Rhythms, Bright, great-sounding built-in speakers, USB-MIDI, Operates on 6 AA batteries or AC Adapter (included)",Black,,239.99,169.99,,,,casio_ctx700_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_ctx700_black.png
,,,Casio,Keyboards,Keyboards,CTX5000,CT-X5000,"Wherever you are on your musical journey, and no matter your budget, you shouldn’t have to compromise on sound quality. Meet the CT–X5000.",Black,,579.99,365.99,,,,casio_ctx5000_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_ctx5000_black.png
,,,Casio,Keyboards,Keyboards,CT-S1-76,CTS1-76,"The CT-S1-76 is the expanded version of our great-sounding, stylish, ultra-portable CT-S1.",Black & White,,399.99,289.99,,,,casio_ct-s1-76_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_ct-s1-76_black.png
,,,Casio,Keyboards,Keyboards,PX-770,PX-770,"The world-renowned Privia family of digital pianos grows with the PX-770, designed to provide a true grand piano experience in a slim, modern design.",Black,,1079.99,689.99,,,,casio_px-770_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_px-770_black.png
,,,Casio,Keyboards,Keyboards,PX-770-WE,PX-770-WE,"The world-renowned Privia family of digital pianos grows with the PX-770, designed to provide a true grand piano experience in a slim, modern design.",White,,1079.99,689.99,,,,casio_px-770_white.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_px-770_white.png
,,,Casio,Keyboards,Keyboards,PX-S7000HM,PX-S7000HM,The PX-S7000HM is a compact grand piano that looks every bit as good as it sounds and feels.,Yellow,,3199.99,1999.00,,,,casio_px-s7000hm_yellow.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/casio_px-s7000hm_yellow.png
,,,Strukture,Keyboards,Benches,SKBE1,Keyboard Bench,88 Full-size weighted scaled hammer action tri-sensor keys. 4 Layer Stereo Grand Piano Sound. Ebony & Ivory Feel Keys.,Black,69.95,,26.99,,,,strukture_skbe1_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/strukture_skbe1_black.png
,,,Jamstands,Keyboards,Benches,JSMB100,Medium Bench,,Black,92.99,,42.49,39.99,,,jamstands_jsmb100_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/jamstands_jsmb100_black.png
,,,Jamstands,Keyboards,Benches,JSSB100,Small Bench,,Black,82.99,,25.99,24.99,,,jamstands_jssb100_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/jamstands_jssb100_black.png
,,,Onstage,Keyboards,Benches,OSKT7800,3-Position X Bench,,Black,,64.95,37.79,,,,onstage_oskt7800_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/onstage_oskt7800_black.png
,,,M&M,Keyboards,Benches,D-XA,Keyboard and Guitar Player Bench,,Black,,29.99,19.49,,,,m&m_d-xa_black.png,/Users/lpdmusic/Documents/New project/Photos/Keyboards/m&m_d-xa_black.png
