sort_order,page,story_id,brand,top_category,subcategory,sku,product_name,description,colors,map_price,net_price,net_price_if_buy_6_or_more,net_price_if_buy_12_or_more,source_image_name,source_image_path
,2,u13b12,Danelectro,Fretted Instruments,Electric Guitars,D56U2-BLK,‘56 U2,• Single Cutaway Body Design • Rosewood Fretboard • ‘56 Lipstick Single Coil Pickups • 3-Way Pickup Switch • Adjustable Saddle Bridge • Volume and Tone Control,Black,$569.00,$398.30,,,danelectro_d56u2-blk_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56u2-blk_black.png
,2,u13b34,Danelectro,Fretted Instruments,Electric Guitars,D57,‘57,• Single Cutaway Body Design • Rosewood Fretboard • ‘56 Lipstick Single Coil Pickups • 3-Way Pickup Switch • Adjustable Saddle Bridge • Volume and Tone Controls,"Limo Black, Jade",$599.00,$419.30,,,danelectro_d57_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d57_black.png
,2,u13bc0,Danelectro,Fretted Instruments,Electric Guitars,STOCK 59,Stock ‘59,• Double cutaway • 2 Lipstick Pickups • Master Volume & Tone Controls • Original swivel bridge • Natural maple neck with lacquer finish,"Black, Cream, Red, Aqua, Vintage Aqua",$459.00,$344.25,,,danelectro_stock-59_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_black.png
,2,u16d0d,Danelectro,Fretted Instruments,Electric Guitars,D59m-plus,‘59M NOS+,• Shorthorn shape • Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Keen Green, Ice Grey, Red, Seafoam, Copper, Go Go Blue, Orange, Baby Blue, White, Black",$529.00,$370.30,,,danelectro_d59m-plus_keen-green.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_keen-green.png
,3,u16dd3,Danelectro,Fretted Instruments,Electric Guitars,D59M-PLUS-MF,59M NOS+ Metalflake,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Blue Metalflake, Silver Metalflake, Orange Metalflake, Black Metalflake, and Red Metalflake",$569.00,$398.30,,,danelectro_d59m-plus-mf_blue-metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_blue-metalflake.png
,3,u16dea,Danelectro,Fretted Instruments,Electric Guitars,D59M-PLUS-LFT,‘59M NOS+ Lefty,• Scale length: 25” • Number of frets: 21 • Coke bottle headstock • Rosewood saddle bridge • 2 NOS+ Lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Black, Seafoam Green",$569.00,$398.30,,,danelectro_d59m-plus-lft_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_black.png
,3,u16e18,Danelectro,Fretted Instruments,Electric Guitars,Triple DIVINE,Triple Divine,• Scale length: 25” • Number of frets: 21 • U3 intonatable saddled bridge • 2 stacked Volume and Tone pots • CRL ® 5-way pickup switch,Red & Burgundy,$799.00,$559.00,,,danelectro_triple-divine_red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_red.png
,3,u16f7c,Danelectro,Fretted Instruments,Electric Guitars,D59DIVINE,59 Divine,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Dark Walnut, Flame Maple, Fresh Cream",$699.00,$489.30,,,danelectro_d59divine_dark-walnut.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_dark-walnut.png
,4,u16fa4,Danelectro,Fretted Instruments,Electric Guitars,BO59-MF,Blackout ‘59,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector • Black pick guards and black side tape,"Purple Metalflake, Black Metalflake",$569.00,$398.30,,,danelectro_bo59-mf_purple-metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-mf_purple-metalflake.png
,4,u16fbb,Danelectro,Fretted Instruments,Electric Guitars,59XT,‘59XT,• Number of frets: 21 • High output single coil in neck • Lipstick ® Humbucker pair in bridge • 2 stacked tone & volume controls • 3-way pickup selector • Wilkinson tremolo,"Dark Aqua, Black, Silver, Dark Burgundy & Vintage Cream",$599.00,$449.25,,,danelectro_59xt_aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_aqua.png
